match_id,home_team,away_team,home_score,away_score,stadium,match_round,tournament_year
300186463,43909,43927,1,2,Arena da Baixada,First stage - Group E,2014
1230,43975,43971,3,0,Independencia,Group matches - Group 1,1950
1660,44023,43930,4,0,Hillsborough,Quarter-finals,1966
8768,43921,43975,0,1,La Beaujoire,Group matches - Group F,1998
74,43924,43967,1,0,Stadio delle Alpi,Group matches - Group C,1990
300061506,43928,43969,0,1,Ellis Park Stadium,Quarter-finals,2010
1119,43950,43855,4,2,Giorgio Ascarelli,Preliminary round,1934
439,43969,43924,0,1,Jalisco,Group matches - Group D,1986
3061,43876,43936,3,0,Cotton Bowl,Group matches - Group D,1994
2220,43960,43934,5,1,Estadio Olímpico Chateau Carreras,Second round - Group A,1978
8787,43960,43938,1,2,Parc des Princes,Match for third place,1998
300331526,43872,43817,0,1,Saint Petersburg Stadium,"First stage - Group B,",2018
1637,44023,43969,2,1,Villa Park,Group matches - Group 2,1966
878,43942,43946,3,1,San Mames,Group matches - Group 4,1982
1764,43924,43942,1,0,Jalisco,Group matches - Group 3,1970
751,43922,43904,2,0,Jose Rico Perez,Group matches - Group 3,1982
300331530,43930,43835,1,0,Rostov Arena,"First stage - Group A,",2018
8729,43835,43941,0,1,Stade Felix Bollaert,Group matches - Group C,1998
1158,43970,43902,8,0,Fort Carree,Quarter-finals,1938
43950028,43901,43972,1,1,Incheon Football Stadium,Group matches - Group C,2002
300186475,43948,43963,4,0,Arena Fonte Nova,First stage - Group G,2014
1676,44026,43950,2,1,Roker Park Ground,Quarter-finals,1966
643,43822,43954,2,3,Cuauhtemoc,Group matches - Group A,1986
300061510,43930,43948,2,3,Port Elizabeth Stadium,Match for third place,2010
3098,43960,43924,2,3,Cotton Bowl,Quarter-finals,1994
1949,43922,43954,1,1,Neckarstadion,Group matches - Group 4,1974
3077,43953,43961,0,0,Giants Stadium,Group matches - Group E,1994
300061455,43949,43922,0,2,Peter Mokaba Stadium,First stage - Group B,2010
585,43930,44023,1,1,Estadio Corregidora,Group matches - Group E,1986
97410051,43942,43927,1,0,Gottlieb-Daimler-Stadion,Round of 16,2006
43950004,43948,43835,8,0,Sapporo Dome,Group matches - Group E,2002
1461,43924,43911,2,0,Estadio Sausalito,Group matches - Group 3,1962
1174,43954,43950,4,2,Stade Olympique,Final,1938
511,43941,43969,1,5,Estadio Corregidora,Round of 16,1986
1877,43954,43984,0,0,Luis Dosal,Group matches - Group 2,1970
395,43922,43822,3,1,Estadio Olímpico Universitario,Group matches - Group A,1986
300186459,43901,43949,1,1,Arena Pernambuco,Round of 16,2014
680,43911,43928,1,1,Estadio Azteca,Group matches - Group B,1986
97410006,1890244,43960,0,1,Zentralstadion,Group matches - Group C,2006
300061479,43928,43978,0,0,Peter Mokaba Stadium,First stage - Group F,2010
43950053,43911,43921,0,2,Jeonju World Cup Stadium,Round of 16,2002
8752,43922,43910,5,0,Parc des Princes,Group matches - Group H,1998
1820,43911,43904,4,0,Estadio Azteca,Group matches - Group 1,1970
1089,43928,43935,1,0,Estadio Centenario,Group matches - Group 4,1930
1123,43954,43969,1,0,Giovanni Berta,Quarter-finals,1934
97410010,43921,43995,0,3,"FIFA World Cup Stadium, Gelsenkirchen",Group matches - Group E,2006
1709,43963,44026,2,1,Wembley Stadium,Match for third place,1966
43950045,43888,43819,0,2,Osaka Nagai Stadium,Group matches - Group H,2002
1135,43954,43921,7,1,Nazionale PNF,Preliminary round,1934
300061480,44002,43954,3,2,Ellis Park Stadium,First stage - Group F,2010
2349,44023,43954,0,0,El Monumental - Estadio Monumental Antonio Vespuci,Second round - Group A,1978
8744,43954,43849,3,0,La Mosson,Group matches - Group B,1998
97410047,43835,43969,0,1,Fritz-Walter-Stadion,Group matches - Group H,2006
43950012,43812,43901,0,2,Gwangju World Cup Stadium,Group matches - Group C,2002
1532,43954,43971,3,0,Nacional,Group matches - Group 2,1962
1498,44025,43969,1,0,Estadio Sausalito,Group matches - Group 3,1962
120,43975,43926,1,0,Renato Dall Ara,Group matches - Group D,1990
3082,43935,43835,0,1,RFK Stadium,Group matches - Group F,1994
8764,43883,43835,2,2,Stade du Parc Lescure,Group matches - Group C,1998
1953,43976,43925,0,0,Olympiastadion,Group matches - Group 1,1974
97410030,43887,43971,0,2,"FIFA World Cup Stadium, Dortmund",Group matches - Group G,2006
300186480,43822,43935,0,1,Arena de Sao Paulo,First stage - Group H,2014
8733,43960,43935,0,0,Stade de France,Group matches - Group E,1998
198,44023,43840,5,1,Giuseppe Meazza,Group matches - Group D,1990
43950032,43963,43962,4,0,Jeonju World Cup Stadium,Group matches - Group D,2002
1284,44023,43972,7,2,Hardturm,Group matches - Group 2,1954
161,43942,43953,1,1,Sant Elia,Group matches - Group F,1990
8725,43872,43961,2,2,La Mosson,Group matches - Group A,1998
43950024,43883,43968,1,0,Daegu World Cup Stadium,Group matches - Group B,2002
300331496,43817,43969,0,1,Kazan Arena,"First stage - Group B,",2018
1768,43924,43929,4,2,Jalisco,Quarter-finals,1970
248,43953,43964,0,0,Luigi Ferraris,Round of 16,1990
2451,43929,43967,3,1,Estadio Olímpico Chateau Carreras,Group matches - Group 4,1978
8772,43922,43938,1,0,Stade du Parc Lescure,Group matches - Group H,1998
300061459,43822,43949,2,0,Port Elizabeth Stadium,First stage - Group B,2010
1945,43922,43924,1,2,Niedersachsenstadion,Second round - Group A,1974
300186479,43935,43843,2,1,Estadio Mineirao,First stage - Group H,2014
97410026,43995,43860,0,2,"FIFA World Cup Stadium, Cologne",Group matches - Group E,2006
300186496,43946,43909,3,0,Estadio Beira-Rio,First stage - Group E,2014
43950008,43969,43968,3,1,Gwangju World Cup Stadium,Group matches - Group B,2002
264,43954,43930,2,0,Stadio Olimpico,Round of 16,1990
771,43934,43952,2,2,Vicente Calderon,Second round - Group 4,1982
300331510,43951,43938,1,2,Rostov Arena,"First stage - Group D,",2018
2216,43934,43969,2,1,Jose Amalfitani,Group matches - Group 3,1978
3057,43924,43965,2,0,Stanford Stadium,Group matches - Group B,1994
300061475,43849,43941,1,2,Loftus Versfeld Stadium,First stage - Group E,2010
1085,43922,43946,1,0,Parque Central,Group matches - Group 1,1930
42,43954,43934,1,0,Stadio Olimpico,Group matches - Group A,1990
1986,43924,43975,0,0,Waldstadion,Group matches - Group 2,1974
1656,44023,43971,5,0,Hillsborough,Group matches - Group 2,1966
1206,43970,43969,3,1,Pacaembu,Final round - Group 6,1950
300186510,43969,43960,1,5,Arena Fonte Nova,First stage - Group B,2014
300331547,43935,43888,5,2,Spartak Stadium,"First stage - Group G,",2018
1343,43924,43970,5,2,Rasunda Stadium,Final,1958
300186455,43949,43854,2,1,Estadio Castelao,First stage - Group C,2014
300061463,43968,43921,2,2,Ellis Park Stadium,First stage - Group C,2010
43950049,43948,43928,1,0,Jeju World Cup Stadium,Round of 16,2002
2200,43954,43922,1,0,El Monumental - Estadio Monumental Antonio Vespuci,Group matches - Group 1,1978
1990,43936,43960,1,4,Westfalenstadion,Group matches - Group 3,1974
8748,43969,43928,0,0,Stade Geoffroy Guichard,Group matches - Group D,1998
1093,43975,43924,2,1,Parque Central,Group matches - Group 2,1930
300111116,43948,43976,4,0,Durban Stadium,First stage - Group D,2010
3104,43924,43954,0,0,Rose Bowl,Final,1994
300186506,43843,43965,1,1,Arena da Baixada,First stage - Group H,2014
675,43963,43872,1,3,Tres de Marzo,Group matches - Group F,1986
300331551,43935,43819,3,2,Rostov Arena,"Round of 16,",2018
2083,43954,43908,3,1,Olympiastadion,Group matches - Group 4,1974
2129,43962,43954,2,1,Neckarstadion,Group matches - Group 4,1974
1882,43954,43911,4,1,Luis Dosal,Quarter-finals,1970
788,43954,43924,3,2,Sarria,Second round - Group 3,1982
300331506,43976,43929,0,2,Fisht Stadium,"First stage - Group C,",2018
767,43934,43946,0,1,Vicente Calderon,Second round - Group 4,1982
1752,43911,43935,1,0,Estadio Azteca,Group matches - Group 1,1970
789,43924,43978,4,0,Benito Villamarin,Group matches - Group 6,1982
300331507,43819,43962,0,1,Volgograd Arena,"First stage - Group H,",2018
1753,44026,43935,4,1,Estadio Azteca,Group matches - Group 1,1970
1883,43954,43970,1,0,Luis Dosal,Group matches - Group 2,1970
300186507,43854,43819,2,1,Arena Pernambuco,First stage - Group C,2014
674,43872,43962,0,0,Estadio Universitario,Group matches - Group F,1986
1641,43969,43971,2,1,Hillsborough,Group matches - Group 2,1966
300331550,43926,43819,1,2,Mordovia Arena,"First stage - Group H,",2018
300061462,43968,43942,0,1,Port Elizabeth Stadium,First stage - Group C,2010
2201,43922,43929,6,0,Arroyito - Estadio Dr. Lisandro de la Torre,Second round - Group B,1978
43950048,43962,43921,3,1,Daejeon World Cup Stadium,Group matches - Group D,2002
2344,43946,43950,3,1,Estadio José María Minella,Group matches - Group 1,1978
55,43942,43935,1,0,Renato Dall Ara,Round of 16,1990
8749,43960,43822,5,0,Stade Vélodrome,Group matches - Group E,1998
1092,43975,43923,4,0,Parque Central,Group matches - Group 2,1930
300111117,43960,43819,1,0,Durban Stadium,First stage - Group E,2010
398,43922,43930,1,0,Cuauhtemoc,Round of 16,1986
1207,43930,43969,2,2,Pacaembu,Final round - Group 6,1950
300186511,43876,44037,1,0,Arena Pantanal,First stage - Group F,2014
300331546,43942,43914,6,1,Nizhny Novgorod Stadium,"First stage - Group G,",2018
377,43924,43843,1,0,Jalisco,Group matches - Group D,1986
300186454,43819,43949,0,0,Estadio das Dunas,First stage - Group C,2014
2217,43934,44023,3,2,Estadio Olímpico Chateau Carreras,Second round - Group A,1978
3056,43849,43970,2,2,Rose Bowl,Group matches - Group B,1994
300061474,43941,43819,1,3,Royal Bafokeng Stadium,First stage - Group E,2010
1084,43922,43925,3,1,Estadio Centenario,Group matches - Group 1,1930
43,43934,44025,0,1,Comunale,Group matches - Group A,1990
2352,44023,43888,0,0,Estadio Olímpico Chateau Carreras,Group matches - Group 2,1978
1987,43890,43924,0,3,Parkstadion,Group matches - Group 2,1974
2186,43975,43890,9,0,Parkstadion,Group matches - Group 2,1974
265,43954,43921,1,0,Stadio Olimpico,Group matches - Group A,1990
1315,43930,44025,2,0,Wankdorf Stadium,Group matches - Group 3,1954
770,44023,43934,1,0,El Molinon,Group matches - Group 2,1982
300331511,43963,43872,1,0,Luzhniki Stadium,"First stage - Group B,",2018
459,43936,43954,1,1,Estadio Azteca,Group matches - Group A,1986
43950009,43938,43911,0,1,Niigata Stadium Big Swan,Group matches - Group G,2002
1179,43954,43961,2,1,Stade Vélodrome,First round,1938
300186478,43976,43960,2,3,Estadio Beira-Rio,First stage - Group B,2014
97410027,43924,43976,2,0,"FIFA World Cup Stadium, Munich",Group matches - Group F,2006
300186497,43935,43921,2,1,Arena Fonte Nova,Round of 16,2014
8773,43924,43925,4,1,Parc des Princes,Round of 16,1998
834,43962,43849,0,0,Riazor,Group matches - Group 1,1982
567,43950,43946,0,3,Nou Camp - Estadio León,Group matches - Group C,1986
3095,43964,43970,2,2,Stanford Stadium,Quarter-finals,1994
1102,43970,43922,3,2,Littorale,Preliminary round,1934
422,43946,43935,4,2,Cuauhtemoc,Match for third place,1986
300061458,43922,43822,4,1,Soccer City Stadium,First stage - Group B,2010
2391,43960,43954,2,1,El Monumental - Estadio Monumental Antonio Vespuci,Second round - Group A,1978
300331497,43876,43951,2,0,Volgograd Arena,"First stage - Group D,",2018
300340184,43969,43872,2,2,Kaliningrad Stadium,"First stage - Group B,",2018
1769,43924,43964,3,2,Jalisco,Group matches - Group 3,1970
1339,43924,43942,0,0,Nya Ullevi,Group matches - Group 4,1958
2450,43962,43929,1,0,San Martin,Second round - Group B,1978
160,43942,43960,0,0,Sant Elia,Group matches - Group F,1990
43950025,43954,43938,1,2,Kashima Stadium,Group matches - Group G,2002
475,43950,43899,2,0,Estadio Irapuato,Group matches - Group C,1986
1285,44023,43975,2,0,Charmilles,Quarter-finals,1954
8732,43822,43911,1,3,Stade de Gerland,Group matches - Group E,1998
1840,44023,43929,3,1,Nou Camp - Estadio León,Group matches - Group 4,1970
1143,44025,43971,3,2,Stadio Benito Mussolini,Quarter-finals,1934
463,43911,43936,2,0,Estadio Azteca,Round of 16,1986
43950033,43941,43946,2,0,Incheon Football Stadium,Group matches - Group A,2002
