team_id,country
43812,China PR
43817,Iran
43818,Iraq
43819,Japan
43821,Korea DPR
43822,Korea Republic
43823,Kuwait
43835,Saudi Arabia
43840,United Arab Emirates
43843,Algeria
43844,Angola
43849,Cameroon
43854,Ivory Coast
43855,Egypt
43860,Ghana
43872,Morocco
43876,Nigeria
43879,Senegal
43883,South Africa
43887,Togo
43888,Tunisia
43890,Zaire
43899,Canada
43901,Costa Rica
43902,Cuba
43904,El Salvador
43908,Haiti
43909,Honduras
43910,Jamaica
43911,Mexico
43914,Panama
43920,Trinidad and Tobago
43921,USA
43922,Argentina
43923,Bolivia
43924,Brazil
43925,Chile
43926,Colombia
43927,Ecuador
43928,Paraguay
43929,Peru
43930,Uruguay
43934,Austria
43935,Belgium
43936,Bulgaria
43938,Croatia
43941,Denmark
43942,England
43946,France
43948,Germany
43949,Greece
43950,Hungary
43951,Iceland
43952,Northern Ireland
43953,Republic of Ireland
43954,Italy
43960,Netherlands
43961,Norway
43962,Poland
43963,Portugal
43964,Romania
43965,Russia
43967,Scotland
43968,Slovenia
43969,Spain
43970,Sweden
43971,Switzerland
43972,Turkey
43973,Ukraine
43974,Wales
43975,Yugoslavia
43976,Australia
43978,New Zealand
43984,Israel
43995,Czech Republic
44002,Slovakia
44024,German DR
44025,Czechoslovakia
44026,Soviet Union
44031,Dutch East Indies
44037,Bosnia and Herzegovina
1890244,Serbia and Montenegro
1902465,Serbia
