tournament_year,host_country,first_place,second_place,third_place,fourth_place,goals_scored
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70
1938,France,Italy,Hungary,Brazil,Sweden,84
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140
1958,Sweden,Brazil,Sweden,France,Germany FR,126
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89
1966,England,England,Germany FR,Portugal,Soviet Union,89
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102
1982,Spain,Italy,Germany FR,Poland,France,146
1986,Mexico,Argentina,Germany FR,France,Belgium,132
1990,Italy,Germany FR,Argentina,Italy,England,115
1994,USA,Brazil,Italy,Sweden,Bulgaria,141
1998,France,France,Brazil,Croatia,Netherlands,171
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161
2006,Germany,Italy,France,Germany,Portugal,147
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171
2018,Russia,France,Croatia,Belgium,England,169
